State,Crop,Season,Year,Area,Production
Punjab,Rice,Kharif,2022,978.52,2912.69
Tamil Nadu,Maize,Rabi,2019,213.26,502.36
Maharashtra,Cotton,Rabi,2023,525.35,1148.37
Karnataka,Wheat,Rabi,2020,654.42,2992.83
Punjab,Cotton,Kharif,2020,366.61,1713.81
Karnataka,Wheat,Kharif,2018,370.38,1567.81
Maharashtra,Rice,Kharif,2021,135.71,344.83
Tamil Nadu,Rice,Rabi,2023,938.26,2334.8
Karnataka,Rice,Kharif,2023,597.71,2125.49
Maharashtra,Wheat,Rabi,2023,537.56,2100.83
Punjab,Wheat,Rabi,2023,352.28,1037.34
Maharashtra,Cotton,Rabi,2023,312.42,688.55
Maharashtra,Wheat,Kharif,2020,830.18,2749.57
Punjab,Wheat,Kharif,2019,277.81,1012.8
Tamil Nadu,Wheat,Rabi,2020,659.98,2793.47
Maharashtra,Maize,Rabi,2021,320.98,1600.22
Tamil Nadu,Maize,Kharif,2021,81.16,184.92
Karnataka,Cotton,Rabi,2020,359.33,1676.53
Maharashtra,Cotton,Kharif,2021,651.73,2013.88
Tamil Nadu,Rice,Kharif,2022,262.88,990.84
Tamil Nadu,Rice,Rabi,2021,448.6,1159.66
Tamil Nadu,Rice,Kharif,2022,310.24,1022.06
Punjab,Cotton,Rabi,2021,461.9,2209.71
Tamil Nadu,Maize,Rabi,2021,253.83,1179.07
Karnataka,Rice,Kharif,2022,792.48,3742.38
Punjab,Maize,Kharif,2021,483.64,2181.21
Tamil Nadu,Wheat,Kharif,2020,969.81,2095.19
Punjab,Cotton,Rabi,2018,943.41,4051.46
Tamil Nadu,Maize,Kharif,2022,305.06,1380.24
Karnataka,Cotton,Rabi,2022,599.85,2068.58
Punjab,Wheat,Kharif,2019,258.21,831.25
Punjab,Cotton,Kharif,2021,674.37,2520.92
Punjab,Wheat,Rabi,2022,478.66,1904.56
Punjab,Maize,Kharif,2022,641.27,2326.35
Maharashtra,Rice,Kharif,2022,168.97,670.81
Punjab,Maize,Kharif,2018,484.16,1387.67
Punjab,Wheat,Kharif,2019,356.87,772.36
Maharashtra,Maize,Rabi,2018,492.29,2035.31
Karnataka,Maize,Kharif,2023,558.35,2591.4
Karnataka,Maize,Rabi,2018,825.41,2292.45
Maharashtra,Cotton,Kharif,2023,657.18,2979.86
Punjab,Rice,Rabi,2022,726.09,2999.83
Karnataka,Rice,Rabi,2021,160.04,705.38
Tamil Nadu,Wheat,Rabi,2021,562.66,2566.08
Maharashtra,Cotton,Kharif,2019,238.25,978.5
Tamil Nadu,Rice,Kharif,2021,476.65,1741.87
Tamil Nadu,Wheat,Kharif,2018,515.67,1453.36
Maharashtra,Maize,Kharif,2019,961.46,3238.93
Punjab,Wheat,Rabi,2019,926.97,4114.98
Punjab,Cotton,Kharif,2020,957.17,2658.04
Punjab,Rice,Kharif,2018,576.58,1632.3
Punjab,Wheat,Kharif,2019,202.5,500.54
Punjab,Cotton,Kharif,2021,481.73,1358.89
Maharashtra,Cotton,Rabi,2022,444.89,2041.43
Maharashtra,Maize,Kharif,2020,404.27,1294.41
Tamil Nadu,Cotton,Rabi,2023,701.57,2441.96
Tamil Nadu,Wheat,Kharif,2020,306.04,770.19
Karnataka,Wheat,Rabi,2020,526.35,1956.18
Punjab,Cotton,Rabi,2018,949.9,4345.3
Maharashtra,Maize,Rabi,2019,672.2,3269.84
Punjab,Rice,Rabi,2023,468.62,1339.94
Maharashtra,Cotton,Kharif,2020,194.15,435.0
Tamil Nadu,Wheat,Rabi,2018,493.07,1578.22
Tamil Nadu,Maize,Rabi,2020,622.71,2231.69
Karnataka,Maize,Rabi,2019,809.75,1779.67
Tamil Nadu,Rice,Kharif,2021,703.42,1895.58
Maharashtra,Rice,Rabi,2021,447.67,1228.75
Tamil Nadu,Cotton,Kharif,2023,947.93,3445.2
Tamil Nadu,Maize,Rabi,2022,676.38,2358.42
Tamil Nadu,Wheat,Rabi,2021,482.41,2249.38
Punjab,Cotton,Kharif,2018,449.32,1280.13
Punjab,Maize,Kharif,2021,974.22,2145.25
Punjab,Wheat,Rabi,2020,574.79,2014.24
Tamil Nadu,Maize,Rabi,2022,992.96,2119.37
Tamil Nadu,Cotton,Rabi,2020,97.51,399.47
Tamil Nadu,Wheat,Rabi,2021,27.98,82.77
Maharashtra,Wheat,Kharif,2020,144.44,404.43
Punjab,Maize,Kharif,2023,826.41,4086.34
Tamil Nadu,Cotton,Rabi,2022,477.03,2068.82
Maharashtra,Wheat,Rabi,2018,959.17,2593.38
Tamil Nadu,Cotton,Rabi,2020,949.62,3984.37
Karnataka,Rice,Rabi,2022,125.13,296.07
Karnataka,Cotton,Kharif,2018,846.71,3904.36
Karnataka,Maize,Kharif,2018,382.32,1890.86
Tamil Nadu,Rice,Rabi,2020,761.54,1652.25
Maharashtra,Cotton,Kharif,2022,654.39,3142.67
Punjab,Maize,Kharif,2019,772.06,3146.94
Maharashtra,Cotton,Rabi,2018,590.56,1867.6
Maharashtra,Maize,Kharif,2022,252.87,577.6
Tamil Nadu,Maize,Rabi,2020,872.57,3327.57
Punjab,Cotton,Rabi,2019,427.19,2049.48
Tamil Nadu,Rice,Kharif,2020,587.28,1485.18
Tamil Nadu,Rice,Kharif,2019,868.93,4341.0
Punjab,Wheat,Rabi,2020,398.84,1243.52
Tamil Nadu,Cotton,Rabi,2021,474.71,1052.14
Maharashtra,Rice,Rabi,2019,805.22,3260.32
Tamil Nadu,Wheat,Rabi,2023,469.11,1198.45
Punjab,Wheat,Kharif,2022,935.33,2960.07
Tamil Nadu,Rice,Kharif,2020,202.43,679.65
Punjab,Wheat,Kharif,2019,536.73,1759.99
Punjab,Rice,Kharif,2022,710.32,1806.63
Maharashtra,Cotton,Kharif,2022,77.49,214.37
Karnataka,Cotton,Kharif,2020,886.97,4331.94
Tamil Nadu,Maize,Kharif,2020,501.14,1532.07
Tamil Nadu,Rice,Rabi,2018,216.79,639.73
Maharashtra,Cotton,Kharif,2018,777.23,3785.64
Punjab,Wheat,Rabi,2020,728.39,3253.6
Punjab,Cotton,Kharif,2020,163.28,702.38
Karnataka,Cotton,Rabi,2018,65.18,243.79
Karnataka,Cotton,Rabi,2020,99.45,280.1
Karnataka,Wheat,Kharif,2022,132.46,406.0
Punjab,Wheat,Kharif,2018,469.79,2157.85
Karnataka,Wheat,Rabi,2019,473.75,2172.77
Karnataka,Maize,Kharif,2023,119.47,376.76
Punjab,Maize,Kharif,2021,215.3,899.03
Punjab,Maize,Rabi,2022,962.59,2480.27
Karnataka,Maize,Rabi,2022,479.49,1579.72
Punjab,Rice,Kharif,2019,973.46,4726.66
Tamil Nadu,Wheat,Rabi,2021,525.31,1053.83
Tamil Nadu,Maize,Kharif,2022,614.12,1296.99
Maharashtra,Cotton,Rabi,2023,634.47,2079.77
Tamil Nadu,Cotton,Kharif,2021,554.12,2265.81
Punjab,Rice,Rabi,2021,945.93,2281.09
Punjab,Maize,Rabi,2019,782.33,2845.63
Punjab,Cotton,Kharif,2021,762.48,3556.65
Karnataka,Wheat,Kharif,2018,69.35,343.26
Punjab,Wheat,Kharif,2018,863.8,3007.47
Maharashtra,Rice,Kharif,2021,986.52,2981.09
Karnataka,Cotton,Kharif,2022,113.68,450.61
Punjab,Maize,Kharif,2020,890.42,2355.07
Tamil Nadu,Maize,Rabi,2021,275.47,1175.58
Tamil Nadu,Maize,Kharif,2021,927.5,2735.45
Karnataka,Maize,Rabi,2019,721.48,2766.61
Punjab,Maize,Kharif,2019,216.54,462.56
Karnataka,Cotton,Rabi,2018,953.18,3433.04
Karnataka,Maize,Rabi,2022,613.09,2689.19
Karnataka,Maize,Kharif,2019,429.01,933.12
Tamil Nadu,Wheat,Kharif,2019,37.03,91.71
Punjab,Cotton,Kharif,2020,403.42,1085.06
Maharashtra,Wheat,Kharif,2020,628.48,1839.97
Punjab,Cotton,Kharif,2020,126.54,571.25
Punjab,Maize,Kharif,2018,207.86,760.84
Punjab,Cotton,Rabi,2019,388.33,1353.04
Tamil Nadu,Cotton,Kharif,2019,158.92,750.84
Punjab,Wheat,Rabi,2022,58.57,177.24
Punjab,Rice,Kharif,2021,59.85,248.21
Punjab,Rice,Rabi,2020,579.52,2889.44
Karnataka,Cotton,Kharif,2021,355.3,1346.77
Maharashtra,Maize,Rabi,2019,480.43,1020.67
Maharashtra,Rice,Rabi,2020,422.87,1946.34
Punjab,Rice,Kharif,2018,302.89,750.78
Tamil Nadu,Cotton,Rabi,2019,630.38,1646.88
Tamil Nadu,Maize,Kharif,2018,282.23,986.6
Punjab,Maize,Rabi,2018,933.56,3689.94
Punjab,Maize,Rabi,2018,960.24,2538.29
Karnataka,Cotton,Rabi,2019,173.09,506.12
Karnataka,Rice,Kharif,2019,768.76,3338.18
Karnataka,Wheat,Rabi,2020,330.65,1188.93
Maharashtra,Maize,Kharif,2021,750.08,3698.73
Maharashtra,Wheat,Rabi,2019,535.67,2580.73
Punjab,Rice,Rabi,2019,827.38,2472.92
Punjab,Cotton,Kharif,2023,123.92,495.04
Punjab,Rice,Rabi,2021,573.57,1833.77
Tamil Nadu,Maize,Kharif,2022,535.35,2355.65
Karnataka,Wheat,Kharif,2023,465.07,2248.89
Tamil Nadu,Wheat,Rabi,2019,616.29,1400.03
Maharashtra,Wheat,Kharif,2019,185.27,603.65
Maharashtra,Rice,Rabi,2022,267.89,700.02
Punjab,Rice,Rabi,2021,892.67,4366.85
Karnataka,Maize,Kharif,2021,446.33,1621.35
Tamil Nadu,Cotton,Rabi,2023,308.6,1077.74
Maharashtra,Wheat,Kharif,2019,598.1,2039.44
Maharashtra,Maize,Rabi,2020,70.37,272.29
Maharashtra,Cotton,Rabi,2021,178.56,384.35
Tamil Nadu,Wheat,Rabi,2021,714.44,2581.01
Tamil Nadu,Rice,Kharif,2018,337.69,901.49
Tamil Nadu,Wheat,Kharif,2018,616.24,2335.87
Punjab,Rice,Rabi,2019,358.65,1343.07
Maharashtra,Maize,Kharif,2018,975.14,4173.13
Maharashtra,Wheat,Rabi,2020,774.79,3463.37
Tamil Nadu,Wheat,Kharif,2021,366.04,845.53
Punjab,Cotton,Rabi,2021,462.79,1002.42
Punjab,Maize,Kharif,2018,836.57,2920.33
Karnataka,Maize,Rabi,2018,832.27,3614.58
Punjab,Cotton,Kharif,2021,684.07,2559.24
Karnataka,Maize,Kharif,2021,146.39,513.52
Maharashtra,Cotton,Kharif,2021,47.47,169.77
Karnataka,Cotton,Rabi,2019,18.15,52.33
Punjab,Rice,Kharif,2020,998.21,2296.74
Punjab,Wheat,Rabi,2020,161.04,745.84
Karnataka,Wheat,Rabi,2021,111.01,302.15
Maharashtra,Cotton,Kharif,2018,11.97,31.96
Punjab,Wheat,Rabi,2023,235.63,569.97
Punjab,Wheat,Rabi,2019,383.0,1001.3
Punjab,Wheat,Kharif,2018,666.78,1430.79
Punjab,Cotton,Kharif,2018,941.09,3195.92
Karnataka,Cotton,Rabi,2023,297.54,616.3
Tamil Nadu,Maize,Rabi,2023,47.24,167.63
Punjab,Rice,Kharif,2018,171.12,539.59
Tamil Nadu,Maize,Rabi,2022,439.31,1228.11
Maharashtra,Wheat,Rabi,2021,660.29,1665.37
Maharashtra,Maize,Kharif,2023,471.23,1818.49
Punjab,Rice,Kharif,2020,703.33,2550.07
Karnataka,Rice,Rabi,2021,42.36,85.95
Karnataka,Cotton,Rabi,2022,460.99,1316.28
Maharashtra,Maize,Kharif,2019,846.47,4018.21
Maharashtra,Wheat,Rabi,2020,558.04,2550.03
Punjab,Wheat,Rabi,2023,103.17,471.99
Karnataka,Maize,Kharif,2022,878.27,2045.3
Tamil Nadu,Wheat,Rabi,2018,202.46,825.17
Punjab,Maize,Rabi,2018,40.34,83.18
Karnataka,Maize,Rabi,2023,842.38,3675.04
Punjab,Maize,Kharif,2022,316.57,1238.66
Tamil Nadu,Maize,Rabi,2020,194.87,511.66
Maharashtra,Maize,Rabi,2020,804.61,2717.95
Karnataka,Wheat,Rabi,2018,554.27,1962.82
Maharashtra,Wheat,Kharif,2019,886.46,4198.38
Maharashtra,Rice,Rabi,2020,520.89,1616.79
Maharashtra,Cotton,Kharif,2019,935.3,2793.23
Karnataka,Wheat,Kharif,2019,87.83,415.99
Maharashtra,Maize,Kharif,2018,451.37,1407.61
Punjab,Rice,Kharif,2022,822.09,3742.71
Karnataka,Wheat,Kharif,2020,233.98,1076.8
Maharashtra,Cotton,Kharif,2020,431.15,1594.1
Tamil Nadu,Maize,Kharif,2020,889.33,3320.54
Punjab,Wheat,Rabi,2022,83.07,253.76
Karnataka,Cotton,Rabi,2019,330.0,1546.35
Punjab,Rice,Kharif,2023,564.42,1343.93
Tamil Nadu,Wheat,Kharif,2019,577.02,1563.09
Punjab,Cotton,Kharif,2019,532.95,1109.42
Punjab,Wheat,Rabi,2018,622.37,2087.42
Karnataka,Wheat,Kharif,2021,625.07,2710.11
Karnataka,Maize,Kharif,2018,813.73,3639.8
Punjab,Wheat,Rabi,2019,570.79,2371.63
Maharashtra,Cotton,Kharif,2018,397.84,1693.84
Punjab,Rice,Kharif,2023,627.58,1475.1
Karnataka,Rice,Rabi,2021,61.51,160.06
Tamil Nadu,Maize,Rabi,2022,155.55,538.58
Tamil Nadu,Maize,Kharif,2023,193.83,400.76
Tamil Nadu,Rice,Kharif,2021,209.4,874.27
Punjab,Cotton,Kharif,2021,948.05,4607.26
Karnataka,Rice,Rabi,2019,305.93,1197.16
Punjab,Maize,Kharif,2019,596.15,2831.95
Punjab,Wheat,Rabi,2023,510.74,1235.67
Maharashtra,Wheat,Kharif,2022,711.34,2492.89
Tamil Nadu,Rice,Rabi,2020,163.79,771.48
Tamil Nadu,Cotton,Rabi,2023,641.64,2800.05
Karnataka,Wheat,Kharif,2021,991.66,3856.51
Punjab,Wheat,Kharif,2018,681.42,3196.75
Karnataka,Cotton,Rabi,2020,824.68,2525.13
Maharashtra,Wheat,Kharif,2020,537.24,2267.04
Maharashtra,Wheat,Kharif,2020,407.3,1841.59
Punjab,Cotton,Rabi,2019,442.93,1146.94
Tamil Nadu,Wheat,Rabi,2018,672.12,1829.3
Tamil Nadu,Wheat,Rabi,2018,305.2,1391.0
Punjab,Maize,Kharif,2022,317.54,702.28
Punjab,Rice,Rabi,2018,398.03,1496.24
Karnataka,Wheat,Kharif,2020,501.78,2188.26
Maharashtra,Wheat,Rabi,2019,265.16,1116.95
Karnataka,Wheat,Kharif,2019,253.11,1173.33
Maharashtra,Wheat,Rabi,2021,12.56,31.6
Tamil Nadu,Wheat,Kharif,2023,688.59,2646.29
Maharashtra,Cotton,Kharif,2018,165.16,450.42
Maharashtra,Maize,Rabi,2021,749.98,2249.56
Punjab,Maize,Kharif,2021,950.1,3598.67
Tamil Nadu,Rice,Rabi,2022,169.46,689.22
Maharashtra,Rice,Kharif,2019,254.73,1024.6
Tamil Nadu,Cotton,Rabi,2023,864.14,3436.8
Karnataka,Maize,Rabi,2022,52.35,166.25
Punjab,Rice,Kharif,2021,504.07,2166.49
Punjab,Wheat,Kharif,2021,90.99,406.43
Maharashtra,Maize,Rabi,2022,659.72,2724.88
Punjab,Wheat,Rabi,2020,965.55,2695.07
Punjab,Maize,Rabi,2020,973.82,2152.94
Tamil Nadu,Maize,Rabi,2022,321.29,1302.32
Maharashtra,Rice,Rabi,2022,742.6,2990.34
Maharashtra,Rice,Rabi,2021,137.7,563.93
Maharashtra,Maize,Rabi,2023,729.45,2920.42
Punjab,Rice,Kharif,2019,198.05,675.66
Tamil Nadu,Rice,Kharif,2022,611.72,2692.53
Tamil Nadu,Wheat,Rabi,2021,38.78,129.81
Karnataka,Cotton,Kharif,2019,520.42,2329.23
Karnataka,Wheat,Kharif,2023,897.39,2964.94
Karnataka,Wheat,Kharif,2023,905.16,2748.57
Tamil Nadu,Wheat,Kharif,2023,402.88,1216.11
Tamil Nadu,Maize,Rabi,2022,843.52,3336.2
Tamil Nadu,Maize,Rabi,2018,675.96,1582.26
Maharashtra,Wheat,Rabi,2018,319.79,972.1
Maharashtra,Maize,Kharif,2022,60.84,228.19
Punjab,Wheat,Rabi,2018,909.71,2219.89
Karnataka,Wheat,Kharif,2018,346.11,1381.53
Tamil Nadu,Rice,Rabi,2023,369.76,1461.61
Maharashtra,Maize,Kharif,2018,816.43,3293.66
Karnataka,Maize,Rabi,2023,184.73,836.27
Tamil Nadu,Wheat,Kharif,2019,735.97,2255.15
Punjab,Wheat,Kharif,2019,540.09,1177.23
Karnataka,Wheat,Rabi,2019,600.26,2899.73
Punjab,Wheat,Rabi,2019,308.15,1485.63
Punjab,Wheat,Kharif,2022,803.26,3733.79
Maharashtra,Rice,Rabi,2021,498.91,1521.19
Karnataka,Maize,Rabi,2023,878.76,2712.52
Punjab,Rice,Rabi,2020,666.29,3306.58
Maharashtra,Wheat,Rabi,2019,495.32,2359.75
Tamil Nadu,Wheat,Rabi,2022,624.77,3075.62
Punjab,Maize,Rabi,2018,393.86,823.5
Punjab,Wheat,Rabi,2018,243.13,792.88
Maharashtra,Rice,Kharif,2018,563.19,2471.15
Tamil Nadu,Maize,Kharif,2019,689.11,2629.8
Tamil Nadu,Cotton,Rabi,2023,995.38,3944.86
Karnataka,Rice,Rabi,2018,404.77,1148.68
Tamil Nadu,Cotton,Kharif,2022,514.68,2003.37
Maharashtra,Wheat,Kharif,2022,939.88,3801.29
Karnataka,Wheat,Rabi,2021,617.89,3088.34
Karnataka,Wheat,Rabi,2022,913.24,3655.66
Maharashtra,Cotton,Kharif,2020,252.38,1128.41
Punjab,Rice,Kharif,2021,711.3,2793.22
Maharashtra,Rice,Rabi,2018,749.28,2971.54
Tamil Nadu,Rice,Kharif,2021,766.61,3564.7
Karnataka,Cotton,Kharif,2021,636.85,1868.81
Karnataka,Rice,Rabi,2019,79.14,305.94
Tamil Nadu,Wheat,Rabi,2020,806.79,3329.68
Tamil Nadu,Maize,Rabi,2021,91.18,333.41
Maharashtra,Cotton,Kharif,2022,713.74,1550.68
Punjab,Cotton,Kharif,2023,611.81,1232.3
Punjab,Cotton,Kharif,2023,372.3,1777.53
Karnataka,Cotton,Kharif,2021,871.2,3156.2
Tamil Nadu,Wheat,Kharif,2022,516.65,1938.84
Maharashtra,Cotton,Rabi,2021,758.14,2454.44
Maharashtra,Cotton,Rabi,2023,141.88,496.29
Punjab,Rice,Kharif,2021,522.4,1737.02
Tamil Nadu,Cotton,Rabi,2019,122.59,401.78
Karnataka,Cotton,Kharif,2018,368.97,948.32
Maharashtra,Cotton,Kharif,2018,525.16,1326.24
Maharashtra,Maize,Kharif,2022,676.98,2281.16
Punjab,Wheat,Kharif,2021,424.94,1386.78
Punjab,Wheat,Kharif,2022,256.68,679.17
Tamil Nadu,Maize,Kharif,2021,919.13,2986.65
Punjab,Wheat,Rabi,2020,394.78,1795.27
Punjab,Maize,Rabi,2023,598.96,1338.85
Punjab,Maize,Rabi,2019,336.67,928.2
Karnataka,Maize,Kharif,2019,540.44,2359.13
Karnataka,Maize,Kharif,2021,407.26,1260.88
Karnataka,Rice,Kharif,2022,802.86,2603.74
Tamil Nadu,Rice,Rabi,2018,860.31,1780.66
Tamil Nadu,Wheat,Kharif,2023,850.36,4080.79
Punjab,Cotton,Rabi,2020,709.26,3310.11
Tamil Nadu,Cotton,Rabi,2023,946.1,2218.43
Punjab,Cotton,Kharif,2021,676.07,2120.09
Maharashtra,Wheat,Kharif,2018,941.13,3901.84
Punjab,Cotton,Kharif,2020,189.67,917.8
Maharashtra,Maize,Rabi,2020,270.54,1284.37
Maharashtra,Cotton,Rabi,2019,500.87,1478.67
Punjab,Wheat,Kharif,2022,231.17,663.54
Tamil Nadu,Maize,Kharif,2018,545.25,1461.06
Karnataka,Cotton,Kharif,2018,820.71,2077.9
Maharashtra,Wheat,Rabi,2020,403.61,808.07
Maharashtra,Rice,Kharif,2018,613.5,2318.17
Punjab,Cotton,Kharif,2023,857.73,4242.75
Tamil Nadu,Wheat,Rabi,2023,855.38,4143.74
Maharashtra,Maize,Rabi,2022,329.96,1555.75
Karnataka,Maize,Rabi,2018,584.41,2754.97
Punjab,Cotton,Rabi,2023,109.7,454.37
Punjab,Wheat,Kharif,2020,663.39,2873.74
Maharashtra,Wheat,Rabi,2021,324.99,1027.87
Tamil Nadu,Rice,Kharif,2019,453.59,954.84
Tamil Nadu,Wheat,Kharif,2022,138.64,568.82
Tamil Nadu,Wheat,Kharif,2019,303.48,1277.08
Tamil Nadu,Maize,Kharif,2021,904.73,3284.14
Maharashtra,Wheat,Kharif,2023,956.11,2059.85
Punjab,Rice,Kharif,2018,478.89,1382.79
Maharashtra,Rice,Rabi,2020,75.64,223.99
Maharashtra,Wheat,Rabi,2021,738.21,2096.13
Karnataka,Wheat,Rabi,2020,48.78,188.77
Karnataka,Maize,Rabi,2019,83.58,179.07
Tamil Nadu,Rice,Kharif,2023,749.49,3366.55
Karnataka,Wheat,Rabi,2020,771.82,3109.15
Karnataka,Cotton,Kharif,2019,131.89,605.95
Maharashtra,Rice,Rabi,2019,100.29,348.49
Maharashtra,Cotton,Rabi,2021,998.97,4318.75
Punjab,Maize,Kharif,2022,219.35,951.22
Karnataka,Rice,Kharif,2022,683.88,3309.94
Maharashtra,Rice,Rabi,2021,545.62,2099.14
Tamil Nadu,Cotton,Rabi,2021,11.8,53.53
Karnataka,Maize,Rabi,2023,234.85,1080.1
Punjab,Wheat,Kharif,2023,85.42,245.9
Karnataka,Cotton,Kharif,2022,991.59,4551.36
Karnataka,Maize,Rabi,2020,412.69,1657.16
Karnataka,Cotton,Rabi,2018,674.84,3142.22
Maharashtra,Rice,Rabi,2020,590.3,1441.95
Punjab,Wheat,Rabi,2019,454.53,2142.81
Tamil Nadu,Wheat,Rabi,2018,957.48,2696.44
Tamil Nadu,Maize,Kharif,2022,504.23,2368.05
Karnataka,Wheat,Rabi,2021,785.86,2043.0
Tamil Nadu,Rice,Kharif,2019,111.66,370.18
Punjab,Cotton,Kharif,2021,492.66,1042.14
Karnataka,Rice,Rabi,2020,577.83,2694.45
Maharashtra,Rice,Kharif,2021,384.04,956.35
Karnataka,Cotton,Kharif,2020,18.56,54.17
Tamil Nadu,Wheat,Kharif,2020,747.78,3267.55
Karnataka,Cotton,Kharif,2022,857.35,2049.5
Karnataka,Cotton,Kharif,2021,541.1,2338.24
Tamil Nadu,Wheat,Rabi,2018,852.56,3026.44
Karnataka,Wheat,Kharif,2021,683.55,2156.1
Maharashtra,Wheat,Kharif,2018,247.19,922.18
Tamil Nadu,Rice,Kharif,2019,357.17,1681.35
Karnataka,Rice,Rabi,2023,855.73,3615.69
Tamil Nadu,Rice,Rabi,2018,711.92,3167.04
Punjab,Wheat,Rabi,2021,651.94,2449.66
Tamil Nadu,Rice,Kharif,2021,489.83,1219.51
Maharashtra,Wheat,Kharif,2020,918.46,2714.29
Punjab,Maize,Kharif,2020,387.95,793.77
Punjab,Maize,Rabi,2018,948.01,3801.21
Maharashtra,Cotton,Rabi,2020,797.94,2775.64
Punjab,Maize,Kharif,2022,355.82,795.52
Punjab,Rice,Kharif,2018,708.42,2972.57
Maharashtra,Rice,Kharif,2019,775.4,2613.45
Maharashtra,Rice,Rabi,2018,580.55,2025.11
Maharashtra,Rice,Kharif,2022,822.25,3101.59
Tamil Nadu,Wheat,Kharif,2023,133.62,550.56
Punjab,Cotton,Rabi,2020,243.9,1072.36
Maharashtra,Wheat,Rabi,2021,332.27,1231.63
Punjab,Cotton,Kharif,2023,550.89,1722.75
Punjab,Wheat,Rabi,2022,393.5,870.66
Karnataka,Maize,Kharif,2022,12.77,34.62
Maharashtra,Maize,Kharif,2021,601.89,2156.59
Tamil Nadu,Maize,Rabi,2023,493.98,2126.05
Maharashtra,Rice,Rabi,2019,937.21,3459.93
Karnataka,Maize,Rabi,2018,820.41,3513.44
Karnataka,Cotton,Kharif,2022,834.27,3097.4
Maharashtra,Cotton,Rabi,2023,111.59,271.24
Punjab,Wheat,Kharif,2019,715.39,2365.09
Karnataka,Wheat,Rabi,2020,25.5,77.33
Tamil Nadu,Cotton,Kharif,2019,365.84,1219.37
Maharashtra,Maize,Kharif,2019,911.09,2395.24
Karnataka,Wheat,Kharif,2019,771.14,2483.47
Maharashtra,Rice,Kharif,2023,299.44,1008.9
Tamil Nadu,Rice,Rabi,2018,716.24,2972.84
Tamil Nadu,Wheat,Rabi,2019,525.92,2306.26
Karnataka,Maize,Kharif,2023,707.18,1881.57
Karnataka,Rice,Rabi,2023,304.3,977.76
Karnataka,Cotton,Kharif,2022,925.47,3540.92
Punjab,Rice,Kharif,2021,870.0,2505.26
Tamil Nadu,Cotton,Kharif,2021,739.23,2784.43
Tamil Nadu,Maize,Kharif,2023,555.78,1951.59
Maharashtra,Rice,Kharif,2023,382.99,1082.68
Maharashtra,Rice,Rabi,2023,249.69,1017.05
Karnataka,Cotton,Kharif,2018,91.84,273.03
Punjab,Rice,Kharif,2021,541.38,2303.26
Karnataka,Rice,Rabi,2023,721.16,2009.37
Karnataka,Wheat,Kharif,2019,770.1,2621.61
Punjab,Wheat,Rabi,2023,992.45,4855.67
Tamil Nadu,Maize,Kharif,2021,635.78,1986.26
Maharashtra,Maize,Rabi,2019,644.0,2340.61
Maharashtra,Rice,Rabi,2018,974.06,3308.57
Karnataka,Cotton,Kharif,2022,980.37,3411.1
Punjab,Cotton,Kharif,2021,308.17,916.78
Tamil Nadu,Cotton,Rabi,2018,231.81,1133.1
Punjab,Maize,Rabi,2023,29.37,142.02
Tamil Nadu,Maize,Kharif,2018,302.06,1258.12
Punjab,Maize,Rabi,2022,975.37,4811.87
Punjab,Wheat,Rabi,2020,503.08,1269.34
Karnataka,Maize,Kharif,2020,143.15,703.95
Karnataka,Cotton,Kharif,2018,155.05,703.12
Punjab,Wheat,Kharif,2020,857.06,2509.28
Maharashtra,Maize,Rabi,2020,118.4,319.0
Punjab,Rice,Rabi,2023,12.33,26.24
Maharashtra,Cotton,Kharif,2020,777.32,2903.3
Karnataka,Rice,Kharif,2019,130.8,475.4
Maharashtra,Cotton,Kharif,2019,910.73,4112.07
Punjab,Maize,Rabi,2018,875.28,4002.72
Punjab,Cotton,Rabi,2023,850.21,2171.96
Maharashtra,Cotton,Rabi,2022,698.52,2191.09
Tamil Nadu,Rice,Kharif,2020,439.4,1490.26
Maharashtra,Maize,Rabi,2019,472.12,1991.87
Punjab,Cotton,Kharif,2023,985.46,2614.66
Maharashtra,Rice,Rabi,2023,253.06,645.3
Maharashtra,Cotton,Kharif,2020,158.56,426.79
Maharashtra,Cotton,Rabi,2022,904.59,2119.2
Maharashtra,Wheat,Kharif,2023,394.67,827.94
Punjab,Wheat,Kharif,2020,758.34,3700.89
Karnataka,Rice,Rabi,2018,34.72,166.22
Punjab,Cotton,Kharif,2018,307.12,1319.21
Punjab,Wheat,Rabi,2023,959.64,3895.56
Tamil Nadu,Cotton,Rabi,2022,84.33,383.73
Tamil Nadu,Rice,Rabi,2018,797.84,2341.18
Tamil Nadu,Wheat,Kharif,2023,732.52,2510.96
Karnataka,Wheat,Kharif,2019,879.02,3424.26
Punjab,Maize,Kharif,2019,223.69,834.09
Maharashtra,Rice,Kharif,2020,202.0,740.5
Karnataka,Wheat,Rabi,2019,88.81,233.99
Tamil Nadu,Cotton,Rabi,2018,718.98,1456.91
Karnataka,Maize,Kharif,2019,517.13,1454.25
Punjab,Cotton,Rabi,2020,751.19,1925.93
Maharashtra,Rice,Kharif,2020,347.98,728.06
Tamil Nadu,Rice,Rabi,2021,178.19,408.88
Tamil Nadu,Wheat,Rabi,2018,520.94,1958.69
Karnataka,Maize,Kharif,2020,23.6,81.53
Tamil Nadu,Wheat,Rabi,2020,775.06,2442.67
Karnataka,Rice,Rabi,2018,209.29,640.12
Tamil Nadu,Cotton,Rabi,2022,676.78,2717.46
